OTU_total	Phylum	Class	Order	Family	Genus	OTU	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T7_1	T7_2	T7_3	T7_4	T7_5	T7_6	DF_1	DF_2	DF_3	DF_4	DF_5	CF_1	CF_2	CF_3	CF_4	CF_5	CF_6
Otu0001	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	unclassified	Otu0001	15	15	16	11	9	12	60	38	26	25	38	32	26	23	21	23	14	61	41	65	37	93	44
Otu0002	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Otu0002	49	161	52	138	34	105	3	42	1	29	0	11	4	22	7	16	4	0	6	1	14	4	6
Otu0003	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Otu0003	2	3	1	8	6	10	12	10	21	11	14	18	12	39	15	18	7	9	12	35	41	42	27
Otu0004	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	Otu0004	6	15	4	34	5	11	0	11	3	19	0	12	1	11	2	11	4	0	2	1	13	2	21
Otu0005	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	uncultured	Otu0005	3	14	5	11	5	13	8	9	1	11	5	12	7	7	16	20	14	0	0	0	0	0	1
Otu0006	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu0006	11	0	14	2	14	12	14	16	32	5	16	12	10	1	2	3	7	0	0	0	0	0	0
Otu0007	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Otu0007	2	0	2	1	2	0	7	5	9	11	6	16	10	13	10	4	12	17	6	10	11	6	5
Otu0008	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	uncultured	Otu0008	29	2	32	10	58	23	5	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu0009	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	uncultured	Otu0009	5	1	5	2	3	1	16	6	27	5	15	8	2	6	9	2	4	0	3	2	2	0	0
Otu0010	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Otu0010	1	9	5	7	9	6	1	18	5	35	2	6	1	3	0	1	14	0	0	0	0	0	0
Otu0011	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	Otu0011	10	5	4	20	5	12	1	16	0	18	1	9	2	1	1	0	5	0	0	0	0	0	0
Otu0012	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	uncultured	Otu0012	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	1	0	17	21	14	20	22	21
Otu0013	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Otu0013	12	18	7	21	7	1	0	7	0	2	0	0	0	0	0	6	0	0	13	0	1	0	1
Otu0014	Actinobacteria	Actinobacteria	Actinobacteridae	Actinomycetales	Frankineae	Otu0014	0	0	0	0	1	1	9	2	1	0	1	0	5	4	4	1	2	10	13	3	5	21	9
Otu0015	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	unclassified	Otu0015	1	10	1	9	3	3	2	17	0	9	1	4	1	9	1	5	5	0	0	1	6	1	1
Otu0016	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Rhodobium	Otu0016	3	0	2	1	0	3	6	4	12	4	10	6	7	3	7	5	5	0	0	10	0	7	2
Otu0017	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Candidatus_Chloroacidobacterium	Otu0017	0	0	2	3	3	1	0	3	13	10	1	10	2	8	3	7	7	0	1	4	0	0	0
Otu0018	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	Otu0018	0	0	0	1	0	0	0	17	0	10	0	3	1	16	0	21	9	0	0	0	0	0	0
Otu0019	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium	Otu0019	1	2	3	0	2	4	1	2	0	1	0	1	0	10	5	5	0	0	12	1	12	2	15
Otu0020	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylocystaceae	uncultured	Otu0020	3	3	1	1	2	2	2	2	5	4	2	5	1	3	5	6	4	5	12	6	8	2	10
Otu0021	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Chitinophagaceae	unclassified	Otu0021	1	0	0	3	0	0	1	1	3	1	1	1	5	3	7	5	0	10	2	20	10	4	7
Otu0022	Proteobacteria	Alphaproteobacteria	Rhizobiales	unclassified	unclassified	Otu0022	0	0	0	0	0	2	4	14	0	5	3	3	9	12	2	1	9	1	1	2	3	3	3
Otu0023	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Otu0023	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	14	19	4	4	10	22
Otu0024	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	Otu0024	2	8	1	1	0	9	1	6	3	7	0	3	0	9	0	7	3	0	6	1	4	1	1
Otu0025	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Otu0025	1	3	1	4	0	0	1	3	0	0	0	0	0	2	1	5	3	3	4	1	13	10	17
